exp_1746200000,2025-04-30T15:00:00Z,2025-04-30,150.00,Impulse gadget purchase,Shopping,MYR,
exp_1748700000,2025-05-30T20:00:00Z,2025-05-30,250.00,Concert Tickets,Entertainment,MYR,
exp_1749340800,2025-06-01T14:00:00Z,2025-06-01,250.00,Sunday Shopping at Pavilion,Shopping,MYR,
exp_1749427200,2025-06-02T09:00:00Z,2025-06-02,25.00,Grab to work,Transport,MYR,
exp_1749513600,2025-06-03T13:00:00Z,2025-06-03,45.00,Lunch with colleagues,Food & Drink,MYR,
exp_1749600000,2025-06-04T18:00:00Z,2025-06-04,30.00,Foodpanda delivery,Food & Drink,MYR,
exp_1749686400,2025-06-05T08:30:00Z,2025-06-05,18.00,Starbucks Coffee,Food & Drink,MYR,
exp_1749772800,2025-06-06T20:00:00Z,2025-06-06,120.00,Dinner at fancy restaurant,Food & Drink,MYR,
exp_1749859200,2025-06-07T16:00:00Z,2025-06-07,80.00,TGV Movie Tickets & Popcorn,Entertainment,MYR,
exp_1749945600,2025-06-08T12:00:00Z,2025-06-08,18.50,Bubble Tea,Food & Drink,MYR,
exp_1750032000,2025-06-09T19:00:00Z,2025-06-09,35.00,Grab ride home,Transport,MYR,
exp_1750118400,2025-06-10T10:00:00Z,2025-06-10,15.50,Morning Coffee,Food & Drink,MYR,
exp_1750204800,2025-06-11T21:00:00Z,2025-06-11,75.00,Online game purchase,Shopping,MYR,
exp_1750291200,2025-06-12T12:30:00Z,2025-06-12,48.00,Sushi lunch,Food & Drink,MYR,
exp_1750377600,2025-06-13T09:00:00Z,2025-06-13,15.00,LRT Fare,Transport,MYR,
exp_1750464000,2025-06-14T15:00:00Z,2025-06-14,350.00,New Watch from Shopee,Shopping,MYR,
exp_1750550400,2025-06-15T11:00:00Z,2025-06-15,85.00,Brunch at cafe,Food & Drink,MYR,
exp_1750636800,2025-06-16T13:00:00Z,2025-06-16,22.00,Salad bowl,Food & Drink,MYR,
exp_1750723200,2025-06-17T08:00:00Z,2025-06-17,16.00,Coffee & Pastry,Food & Drink,MYR,
exp_1750809600,2025-06-18T18:00:00Z,2025-06-18,28.00,Grab ride,Transport,MYR,
exp_1750896000,2025-06-19T12:00:00Z,2025-06-19,33.00,Nando's lunch,Food & Drink,MYR,
exp_1750982400,2025-06-20T21:00:00Z,2025-06-20,90.00,Drinks with coworkers,Entertainment,MYR,
exp_1751068800,2025-06-21T17:00:00Z,2025-06-21,180.00,H&M Clothes,Shopping,MYR,
exp_1751155200,2025-06-22T13:00:00Z,2025-06-22,70.00,Sunday Groceries,Groceries,MYR,
exp_1751241600,2025-06-23T09:00:00Z,2025-06-23,15.00,LRT Fare,Transport,MYR,
exp_1751328000,2025-06-24T19:00:00Z,2025-06-24,120.00,New headphones,Shopping,MYR,https://via.placeholder.com/150
exp_1751414400,2025-06-25T10:00:00Z,2025-06-25,250.00,Phone Bill,Bills,MYR,
exp_1751500800,2025-06-26T12:00:00Z,2025-06-26,40.00,Burger King meal,Food & Drink,MYR,
exp_1751587200,2025-06-27T18:30:00Z,2025-06-27,55.00,Taxi home,Transport,MYR,
exp_1751673600,2025-06-28T20:00:00Z,2025-06-28,210.00,Fancy dinner,Food & Drink,MYR,
